,TMAX
2005-01-01,9.969
2005-01-02,6.036
2005-01-03,4.074
2005-01-04,3.933
2005-01-05,6.333
2005-01-06,9.798
2005-01-07,11.88
2005-01-08,8.884
2005-01-09,9.271
2005-01-10,5.88
2005-01-11,6.83
2005-01-12,4.162
2005-01-13,5.527
2005-01-14,6.68
2005-01-15,4.763
2005-01-16,7.402
2005-01-17,6.339
2005-01-18,3.223
2005-01-19,1.224
2005-01-20,9.058
2005-01-21,10.499
2005-01-22,8.864
2005-01-23,8.023
2005-01-24,1.992
2005-01-25,-8.065
2005-01-26,-8.593
2005-01-27,-9.253
2005-01-28,-4.913
2005-01-29,-2.043
2005-01-30,-1.359
2005-01-31,1.764
2005-02-01,5.291
2005-02-02,4.474
2005-02-03,5.543
2005-02-04,3.131
2005-02-05,
2005-02-06,
2005-02-07,
2005-02-08,
2005-02-09,
2005-02-10,
2005-02-11,
2005-02-12,
2005-02-13,-1.25
2005-02-14,-0.784
2005-02-15,-4.138
2005-02-16,-5.37
2005-02-17,-1.542
2005-02-18,1.974
2005-02-19,-0.128
2005-02-20,-2.045
2005-02-21,-5.158
2005-02-22,-2.044
2005-02-23,-3.249
2005-02-24,-1.919
2005-02-25,-3.954
2005-02-26,-5.714
2005-02-27,-3.431
2005-02-28,-7.692
2005-03-01,-3.757
2005-03-02,-2.09
2005-03-03,-4.78
2005-03-04,-5.877
2005-03-05,-1.862
2005-03-06,-3.817
2005-03-07,-0.838
2005-03-08,4.256
2005-03-09,9.79
2005-03-10,9.85
2005-03-11,8.488
2005-03-12,8.558
2005-03-13,8.496
2005-03-14,6.678
2005-03-15,10.985
2005-03-16,10.943
2005-03-17,10.41
2005-03-18,9.142
2005-03-19,11.662
2005-03-20,11.782
2005-03-21,9.571
2005-03-22,8.555
2005-03-23,5.59
2005-03-24,5.747
2005-03-25,5.799
2005-03-26,4.359
2005-03-27,1.746
2005-03-28,4.534
2005-03-29,5.191
2005-03-30,5.43
2005-03-31,13.806
2005-04-01,14.136
2005-04-02,4.824
2005-04-03,7.847
2005-04-04,6.681
2005-04-05,9.421
2005-04-06,11.379
2005-04-07,12.749
2005-04-08,4.276
2005-04-09,-2.64
2005-04-10,3.878
2005-04-11,4.868
2005-04-12,10.415
2005-04-13,9.174
2005-04-14,8.336
2005-04-15,-1.432
2005-04-16,-0.722
2005-04-17,5.077
2005-04-18,3.741
2005-04-19,2.021
2005-04-20,3.168
2005-04-21,9.88
2005-04-22,11.474
2005-04-23,10.375
2005-04-24,3.472
2005-04-25,10.726
2005-04-26,14.39
2005-04-27,16.747
2005-04-28,18.201
2005-04-29,18.654
2005-04-30,17.064
2005-05-01,14.696
2005-05-02,13.201
2005-05-03,13.232
2005-05-04,12.667
2005-05-05,11.509
2005-05-06,16.346
2005-05-07,17.451
2005-05-08,15.807
2005-05-09,15.303
2005-05-10,9.42
2005-05-11,9.357
2005-05-12,7.983
2005-05-13,7.235
2005-05-14,8.292
2005-05-15,7.595
2005-05-16,6.942
2005-05-17,5.118
2005-05-18,10.3
2005-05-19,18.309
2005-05-20,19.452
2005-05-21,13.7
2005-05-22,8.3
2005-05-23,15.3
2005-05-24,18.6
2005-05-25,21.4
2005-05-26,22.3
2005-05-27,20.2
2005-05-28,20.6
2005-05-29,15.5
2005-05-30,13.6
2005-05-31,13.2
2005-06-01,15.9
2005-06-02,17.7
2005-06-03,17.5
2005-06-04,20.7
2005-06-05,21.9
2005-06-06,21.8
2005-06-07,21.3
2005-06-08,23.2
2005-06-09,22.7
2005-06-10,20.5
2005-06-11,20.7
2005-06-12,18.3
2005-06-13,13.52
2005-06-14,14.6
2005-06-15,18.58
2005-06-16,23.25
2005-06-17,24.4
2005-06-18,23.1
2005-06-19,23.1
2005-06-20,22.9
2005-06-21,23.7
2005-06-22,23.8
2005-06-23,17.3
2005-06-24,19.3
2005-06-25,19.8
2005-06-26,20.8
2005-06-27,21.5
2005-06-28,17.2
2005-06-29,16
2005-06-30,18.4
2005-07-01,21.2
2005-07-02,24
2005-07-03,25.6
2005-07-04,20.6
2005-07-05,21.1
2005-07-06,21.4
2005-07-07,22.4
2005-07-08,21.5
2005-07-09,20.4
2005-07-10,20.9
2005-07-11,23.2
2005-07-12,23
2005-07-13,24.3
2005-07-14,25
2005-07-15,25.3
2005-07-16,25.5
2005-07-17,22.6
2005-07-18,17.9
2005-07-19,23.8
2005-07-20,26.6
2005-07-21,27.1
2005-07-22,24.4
2005-07-23,24.1
2005-07-24,23.2
2005-07-25,20.3
2005-07-26,20.7
2005-07-27,18.5
2005-07-28,17.2
2005-07-29,15.6
2005-07-30,19.1
2005-07-31,21.1
2005-08-01,19.4
2005-08-02,17.1
2005-08-03,21.8
2005-08-04,25.3
2005-08-05,25.7
2005-08-06,27
2005-08-07,29.2
2005-08-08,27.2
2005-08-09,23
2005-08-10,14.6
2005-08-11,18.6
2005-08-12,22.1
2005-08-13,22.6
2005-08-14,25.4
2005-08-15,25.9
2005-08-16,22.9
2005-08-17,21.8
2005-08-18,22.3
2005-08-19,19.8
2005-08-20,15.5
2005-08-21,13.8
2005-08-22,17.3
2005-08-23,19
2005-08-24,22.6
2005-08-25,23.5
2005-08-26,22.4
2005-08-27,21.3
2005-08-28,23.7
2005-08-29,24.4
2005-08-30,24.9
2005-08-31,22.8
2005-09-01,21.9
2005-09-02,21.9
2005-09-03,22.4
