,TMEAN
2005-01-01,6.847
2005-01-02,3.069
2005-01-03,1.286
2005-01-04,0.532
2005-01-05,3.702
2005-01-06,5.658
2005-01-07,6.502
2005-01-08,5.660
2005-01-09,4.282
2005-01-10,2.941
2005-01-11,3.209
2005-01-12,1.051
2005-01-13,2.789
2005-01-14,3.470
2005-01-15,2.084
2005-01-16,3.848
2005-01-17,3.490
2005-01-18,0.011
2005-01-19,-1.422
2005-01-20,4.091
2005-01-21,7.665
2005-01-22,5.739
2005-01-23,4.973
2005-01-24,-2.578
2005-01-25,-8.915
2005-01-26,-10.883
2005-01-27,-11.529
2005-01-28,-7.546
2005-01-29,-4.768
2005-01-30,-4.188
2005-01-31,-1.492
2005-02-01,1.445
2005-02-02,2.157
2005-02-03,1.565
2005-02-04,-1.198
2005-02-05,
2005-02-06,
2005-02-07,
2005-02-08,
2005-02-09,
2005-02-10,
2005-02-11,
2005-02-12,
2005-02-13,-2.27
2005-02-14,-4.787
2005-02-15,-6.332
2005-02-16,-7.663
2005-02-17,-5.719
2005-02-18,-2.956
2005-02-19,-2.570
2005-02-20,-3.953
2005-02-21,-8.091
2005-02-22,-5.205
2005-02-23,-5.174
2005-02-24,-5.726
2005-02-25,-7.954
2005-02-26,-7.212
2005-02-27,-6.695
2005-02-28,-10.209
2005-03-01,-8.939
2005-03-02,-5.561
2005-03-03,-6.913
2005-03-04,-8.296
2005-03-05,-4.184
2005-03-06,-6.141
2005-03-07,-5.563
2005-03-08,0.813
2005-03-09,4.001
2005-03-10,5.469
2005-03-11,4.267
2005-03-12,3.818
2005-03-13,4.733
2005-03-14,4.321
2005-03-15,6.534
2005-03-16,6.891
2005-03-17,7.124
2005-03-18,6.373
2005-03-19,7.327
2005-03-20,8.667
2005-03-21,7.273
2005-03-22,5.522
2005-03-23,3.824
2005-03-24,3.459
2005-03-25,3.837
2005-03-26,2.453
2005-03-27,0.051
2005-03-28,2.286
2005-03-29,3.179
2005-03-30,3.077
2005-03-31,8.613
2005-04-01,8.398
2005-04-02,2.878
2005-04-03,3.191
2005-04-04,3.844
2005-04-05,5.540
2005-04-06,6.748
2005-04-07,7.610
2005-04-08,0.598
2005-04-09,-5.041
2005-04-10,-0.731
2005-04-11,0.951
2005-04-12,4.210
2005-04-13,6.018
2005-04-14,4.002
2005-04-15,-3.070
2005-04-16,-2.736
2005-04-17,2.303
2005-04-18,2.071
2005-04-19,-0.114
2005-04-20,1.027
2005-04-21,5.054
2005-04-22,7.864
2005-04-23,6.360
2005-04-24,1.948
2005-04-25,4.786
2005-04-26,8.654
2005-04-27,10.955
2005-04-28,12.927
2005-04-29,13.704
2005-04-30,13.210
2005-05-01,12.017
2005-05-02,9.594
