,TMIN
2005-01-01,4.937
2005-01-02,-1.268
2005-01-03,-1.064
2005-01-04,-2.072
2005-01-05,0.196
2005-01-06,3.586
2005-01-07,3.767
2005-01-08,3.649
2005-01-09,1.135
2005-01-10,1.189
2005-01-11,-0.034
2005-01-12,-1.339
2005-01-13,1.156
2005-01-14,1.881
2005-01-15,0.626
2005-01-16,1.263
2005-01-17,0.512
2005-01-18,-3.387
2005-01-19,-4.313
2005-01-20,-0.015
2005-01-21,5.749
2005-01-22,3.444
2005-01-23,0.21
2005-01-24,-8.196
2005-01-25,-9.926
2005-01-26,-13.259
2005-01-27,-13.39
2005-01-28,-11.618
2005-01-29,-6.863
2005-01-30,-7.874
2005-01-31,-3.973
2005-02-01,-1.422
2005-02-02,0.537
2005-02-03,-2.217
2005-02-04,-3.717
2005-02-05,
2005-02-06,
2005-02-07,
2005-02-08,
2005-02-09,
2005-02-10,
2005-02-11,
2005-02-12,
2005-02-13,-2.661
2005-02-14,-7.121
2005-02-15,-8.314
2005-02-16,-9.587
2005-02-17,-8.439
2005-02-18,-5.942
2005-02-19,-5.678
2005-02-20,-5.284
2005-02-21,-9.679
2005-02-22,-9.327
2005-02-23,-6.315
2005-02-24,-8.888
2005-02-25,-10.337
2005-02-26,-7.964
2005-02-27,-9.115
2005-02-28,-15.314
2005-03-01,-13.925
2005-03-02,-8.536
2005-03-03,-9.262
2005-03-04,-10.487
2005-03-05,-7.232
2005-03-06,-8.74
2005-03-07,-10.118
2005-03-08,-4.689
2005-03-09,0.31
2005-03-10,1.81
2005-03-11,1.645
2005-03-12,0.314
2005-03-13,2.312
2005-03-14,2.191
2005-03-15,3.412
2005-03-16,3.641
2005-03-17,4.293
2005-03-18,3.924
2005-03-19,3.406
2005-03-20,5.961
2005-03-21,5.695
2005-03-22,3.042
2005-03-23,2.163
2005-03-24,1.487
2005-03-25,2.182
2005-03-26,1.09
2005-03-27,-1.764
2005-03-28,-0.365
2005-03-29,1.74
2005-03-30,0.186
2005-03-31,3.909
2005-04-01,3.561
2005-04-02,1.446
2005-04-03,1.596
2005-04-04,1.986
2005-04-05,1.627
2005-04-06,3.383
2005-04-07,2.709
2005-04-08,-6.245
2005-04-09,-6.942
2005-04-10,-4.851
2005-04-11,-1.911
2005-04-12,-2.086
2005-04-13,1.183
2005-04-14,-1.875
2005-04-15,-5.256
2005-04-16,-5.219
2005-04-17,-1.765
2005-04-18,-1.447
2005-04-19,-2.523
2005-04-20,-0.848
2005-04-21,0.903
2005-04-22,4.208
2005-04-23,3.494
2005-04-24,0.18
2005-04-25,-1.473
2005-04-26,2.869
2005-04-27,4.597
2005-04-28,7.477
2005-04-29,6.653
2005-04-30,7.966
2005-05-01,9.238
2005-05-02,6.451
2005-05-03,3.802
2005-05-04,4.76
2005-05-05,2.214
2005-05-06,1.996
2005-05-07,6.962
2005-05-08,9.116
2005-05-09,7.361
2005-05-10,4.746
2005-05-11,3.326
2005-05-12,4.481
2005-05-13,1.386
2005-05-14,0.161
2005-05-15,1.051
2005-05-16,-0.179
2005-05-17,-0.882
2005-05-18,1.879
2005-05-19,6.848
2005-05-20,10.3
2005-05-21,5.3
2005-05-22,2.2
2005-05-23,2
2005-05-24,7.8
2005-05-25,10.9
2005-05-26,13.2
2005-05-27,13.3
2005-05-28,12.7
2005-05-29,9.7
2005-05-30,9.7
2005-05-31,8.9
2005-06-01,8.7
2005-06-02,9.2
2005-06-03,11.7
2005-06-04,11.4
2005-06-05,12.4
2005-06-06,13.2
2005-06-07,11.4
2005-06-08,11.7
2005-06-09,11.8
2005-06-10,12.3
2005-06-11,12.7
2005-06-12,11.6
2005-06-13,6.34
2005-06-14,5.7
2005-06-15,7.85
2005-06-16,11.72
2005-06-17,15.14
2005-06-18,14.3
2005-06-19,14.4
2005-06-20,12.4
2005-06-21,14.3
2005-06-22,12
2005-06-23,10.7
2005-06-24,10.7
2005-06-25,13.4
2005-06-26,14.3
2005-06-27,15.1
2005-06-28,9.3
2005-06-29,6.3
2005-06-30,8.2
2005-07-01,10.4
2005-07-02,13.6
2005-07-03,17.5
2005-07-04,12.2
2005-07-05,9.7
2005-07-06,13
2005-07-07,13.1
2005-07-08,12.8
2005-07-09,11.6
2005-07-10,12.3
2005-07-11,11.4
2005-07-12,15.1
2005-07-13,15.7
2005-07-14,16.8
2005-07-15,17.4
2005-07-16,18.3
2005-07-17,10.6
2005-07-18,7.3
2005-07-19,12.6
2005-07-20,16.9
2005-07-21,17.3
2005-07-22,15.3
2005-07-23,15.3
2005-07-24,13.2
2005-07-25,11.9
2005-07-26,11.3
2005-07-27,12.6
2005-07-28,9.7
2005-07-29,8.1
2005-07-30,7.3
2005-07-31,10.8
2005-08-01,9.9
2005-08-02,6.9
2005-08-03,9.1
2005-08-04,13.2
2005-08-05,16.7
2005-08-06,17.7
2005-08-07,19.2
2005-08-08,19.8
2005-08-09,14.7
2005-08-10,9.4
2005-08-11,9.3
2005-08-12,10.3
2005-08-13,13.5
2005-08-14,16.1
2005-08-15,16.9
2005-08-16,14.9
2005-08-17,14.8
2005-08-18,14.6
2005-08-19,10.4
2005-08-20,5
2005-08-21,3.3
2005-08-22,5.4
2005-08-23,10.8
2005-08-24,12.8
2005-08-25,15
2005-08-26,14
2005-08-27,12.6
2005-08-28,12.8
2005-08-29,13.7
2005-08-30,15.7
2005-08-31,14.2
2005-09-01,13.3
2005-09-02,13.1
2005-09-03,14.9
2005-09-04,14
2005-09-05,7.2
2005-09-06,4.4
2005-09-07,3.8
2005-09-08,5.8
2005-09-09,7.1
2005-09-10,3.6
2005-09-11,3.5
2005-09-12,5
2005-09-13,5.5
2005-09-14,9
2005-09-15,11.2
2005-09-16,10.9
2005-09-17,-1.6
2005-09-18,-2
2005-09-19,4.5
2005-09-20,8.8
2005-09-21,10.2
2005-09-22,10.2
2005-09-23,12.7
2005-09-24,11.5
2005-09-25,7.8
2005-09-26,5.2
2005-09-27,7.5
2005-09-28,9.3
2005-09-29,10.1
2005-09-30,11.5
2005-10-01,10.9
2005-10-02,2.5
2005-10-03,1.4
2005-10-04,5.9
2005-10-05,5.9
2005-10-06,7.6
2005-10-07,6.9
2005-10-08,9.4
2005-10-09,10.3
2005-10-10,8.6
2005-10-11,8.1
2005-10-12,3
2005-10-13,0.7
2005-10-14,0.9
2005-10-15,0.1
2005-10-16,3.6
2005-10-17,5.7
2005-10-18,3.6
2005-10-19,2.5
2005-10-20,4.9
2005-10-21,3.5
2005-10-22,4.5
2005-10-23,3.6
2005-10-24,3.7
2005-10-25,7.4
2005-10-26,5.4
2005-10-27,5.8
2005-10-28,5.796
2005-10-29,5.296
2005-10-30,7.971
2005-10-31,3.512
2005-11-01,4.086
2005-11-02,5.261
2005-11-03,5.338
2005-11-04,-0.823
2005-11-05,-0.902
2005-11-06,4.499
2005-11-07,6.34
2005-11-08,-0.667
2005-11-09,-2.371
2005-11-10,-1.638
2005-11-11,1.937
2005-11-12,-2.062
2005-11-13,-3.086
2005-11-14,-0.207
2005-11-15,-0.28
2005-11-16,0.514
2005-11-17,0.314
2005-11-18,0.017
2005-11-19,1.5
2005-11-20,1.5
2005-11-21,1.5
2005-11-22,3.045
2005-11-23,-4.5
2005-11-24,-6
2005-11-25,-5.2
2005-11-26,-8.1
2005-11-27,-7.6
2005-11-28,-4.7
2005-11-29,-6.1
2005-11-30,-5.7
2005-12-01,-2.5
2005-12-02,-0.8
2005-12-03,-2.9
2005-12-04,0.2
2005-12-05,-3.4
2005-12-06,-4.6
2005-12-07,-1.7
2005-12-08,0
2005-12-09,-0.8
2005-12-10,-0.9
2005-12-11,-1.6
2005-12-12,-5.5
2005-12-13,-4.1
2005-12-14,-5.6
2005-12-15,-5.5
2005-12-16,-4.1
2005-12-17,-1.8
2005-12-18,-4.5
2005-12-19,-1.446
2005-12-20,-3.078
2005-12-21,-4.115
2005-12-22,-0.61
2005-12-23,1.666
2005-12-24,-0.173
2005-12-25,-0.125
2005-12-26,-0.453
2005-12-27,-1.693
2005-12-28,-8.419
2005-12-29,-6.93
2005-12-30,1.909
2005-12-31,-0.362
2006-01-01,-3.584
2006-01-02,-3.117
2006-01-03,-2.747
2006-01-04,-1.494
2006-01-05,-2.583
2006-01-06,-3.037
2006-01-07,-3.415
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,
2006-01-19,4.4
2006-01-20,2.5
2006-01-21,2.2
2006-01-22,-1.8
2006-01-23,-4.3
2006-01-24,-3.6
2006-01-25,-5.3
2006-01-26,-5.2
2006-01-27,-11.6
2006-01-28,-12
2006-01-29,-10.1
2006-01-30,-10.1
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-04,
2006-02-05,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,3.8
2006-02-14,1.4
2006-02-15,-0.1
2006-02-16,-1.8
2006-02-17,-3.3
2006-02-18,-2.7
2006-02-19,-5.1
2006-02-20,-5.3
2006-02-21,-7
2006-02-22,-8.2
2006-02-23,-8
2006-02-24,-7.4
2006-02-25,-6.5
2006-02-26,-6.4
2006-02-27,-5.9
2006-02-28,-5.7
2006-03-01,-6.1
2006-03-02,-6.7
2006-03-03,-2.1
2006-03-04,-2.866
2006-03-05,-9.524
2006-03-06,-6.976
2006-03-07,-3.336
2006-03-08,2.083
2006-03-09,-2.288
2006-03-10,-4.458
2006-03-11,-1.697
2006-03-12,0.4
2006-03-13,6.639
2006-03-14,5.838
2006-03-15,6.906
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,
2006-03-26,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-08,
2006-04-09,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-22,
2006-04-23,
2006-04-24,
2006-04-25,9.267
2006-04-26,8.741
2006-04-27,7.082
2006-04-28,4.763
2006-04-29,-0.456
2006-04-30,1.876
2006-05-01,4.999
2006-05-02,5.838
2006-05-03,6.323
2006-05-04,5.846
2006-05-05,5.02
2006-05-06,5.566
2006-05-07,2.246
2006-05-08,-1.398
2006-05-09,3.646
2006-05-10,6.456
2006-05-11,5.496
2006-05-12,4.395
2006-05-13,7.442
2006-05-14,8.916
2006-05-15,11.326
2006-05-16,12.96
2006-05-17,13.296
2006-05-18,6.77
2006-05-19,5.926
2006-05-20,4.971
2006-05-21,6.328
2006-05-22,0.933
2006-05-23,0.466
2006-05-24,-0.048
2006-05-25,4.068
2006-05-26,7.869
2006-05-27,9.257
2006-05-28,9.796
2006-05-29,10.94
2006-05-30,9.07
2006-05-31,3.083
2006-06-01,1.8
2006-06-02,7.1
2006-06-03,6.2
2006-06-04,7
2006-06-05,10
2006-06-06,12
2006-06-07,15.6
2006-06-08,16.4
2006-06-09,7.9
2006-06-10,8.5
2006-06-11,11.5
2006-06-12,10.351
2006-06-13,9.72
2006-06-14,10.125
2006-06-15,7.558
2006-06-16,7.935
2006-06-17,7.604
2006-06-18,7.887
2006-06-19,11.032
2006-06-20,10.019
2006-06-21,10.629
2006-06-22,13.374
2006-06-23,14.384
2006-06-24,11.442
2006-06-25,8.974
2006-06-26,9.654
2006-06-27,12.923
2006-06-28,11.541
2006-06-29,11.409
2006-06-30,13.3
2006-07-01,13.9
2006-07-02,13
2006-07-03,10.2
2006-07-04,11.318
2006-07-05,9.656
2006-07-06,
2006-07-07,
2006-07-08,
2006-07-09,
2006-07-10,
2006-07-11,
2006-07-12,
2006-07-13,
2006-07-14,
2006-07-15,
2006-07-16,
2006-07-17,
2006-07-18,
2006-07-19,
2006-07-20,17.9
2006-07-21,16.2
2006-07-22,12.5
2006-07-23,14.2
2006-07-24,16.4
2006-07-25,16.7
2006-07-26,17.3
2006-07-27,12.2
2006-07-28,10
2006-07-29,13.1
2006-07-30,15.5
2006-07-31,13.9
2006-08-01,13.5
2006-08-02,15.9
2006-08-03,12.9
2006-08-04,11.7
2006-08-05,13.4
2006-08-06,13.6
2006-08-07,12.6
2006-08-08,9.7
2006-08-09,10.3
2006-08-10,14.3
2006-08-11,14.4
2006-08-12,11.7
2006-08-13,9.2
2006-08-14,13.7
2006-08-15,10.2
2006-08-16,6.2
2006-08-17,6.2
2006-08-18,5.1
2006-08-19,5.4
2006-08-20,7
2006-08-21,11.7
2006-08-22,13.2
2006-08-23,13
2006-08-24,11.7
2006-08-25,11.9
2006-08-26,10.1
2006-08-27,10.1
2006-08-28,13.5
2006-08-29,14
2006-08-30,12.9
2006-08-31,14
