,TMAX min band,TMIN min band,TMEAN min band,TMAX max band,TMIN max band,TMEAN max band,TMAX,TMIN,TMEAN
1900-01-01,-8.78,-10.48,-9.227083333333333,7.98,5.63,6.571666666666666,-3.56,-7.59,-5.3825
1900-01-02,-8.78,-13.18,-10.36,7.98,5.63,6.571666666666666,-1.27,-4.12,-2.402083333333333
1900-01-03,-8.39,-13.18,-10.36,7.37,1.88,4.18,-3.4,-8.0,-5.341666666666666
1900-01-04,-11.0,-13.62,-11.250909090909092,4.51,0.8,2.0833333333333335,-4.77,-6.77,-5.95
1900-01-05,-11.1,-14.88,-13.167916666666668,7.41,2.63,5.732916666666667,-0.9,-2.5,-1.6333333333333335
1900-01-06,-8.4,-12.31,-10.139583333333333,10.51,5.49,7.547499999999999,4.6,2.97,3.685
1900-01-07,-8.39,-11.53,-9.020000000000001,9.85,4.25,5.075833333333333,1.8,-1.7,-0.3125
1900-01-08,-7.6,-12.31,-10.139583333333333,9.58,6.43,7.2775,-4.6,-7.9,-5.392857142857143
1900-01-09,-5.84,-11.53,-7.129166666666666,8.9,6.43,7.2775,-0.95,-5.73,-3.2954166666666667
1900-01-10,-5.6,-8.8,-6.002222222222223,9.27,6.65000009536743,7.601875005960465,-1.72,-6.13,-4.24000001021794
1900-01-11,-5.6,-8.8,-6.002222222222223,9.27,5.65,7.309166666666666,-3.8,-7.2,-5.687142857142858
1900-01-12,-5.84,-9.23,-7.129166666666666,9.27,5.65,7.309166666666666,4.65,0.57,2.7295833333333337
1900-01-13,-5.84,-10.35,-7.129166666666666,9.27,5.65,7.309166666666666,2.62,-3.25,-1.2895833333333333
1900-01-14,-8.39,-10.89,-9.020000000000001,6.7,1.55,3.87125,-1.58,-2.9,-2.17875
1900-01-15,-8.39,-10.3,-9.020000000000001,7.37,4.16,5.901666666666666,4.92,1.46,2.97
1900-01-16,-4.3,-10.53,-5.741666666666667,10.4,4.25,6.970833333333334,1.0,0.779999971389771,0.8959999942779542
1900-01-17,-3.37,-10.53,-5.741666666666667,11.4,7.11,8.604166666666666,1.0,0.779999971389771,0.8959999942779542
1900-01-18,-3.8,-11.53,-6.09125,11.4,6.43,8.604166666666666,-2.3,-4.3,-2.966666666666667
1900-01-19,-2.87,-6.17,-4.31625,12.23,8.95,10.139583333333333,2.28,-3.4,-1.2925
1900-01-20,-1.0,-5.9,-2.7583333333333333,13.27,10.11,11.67,9.18,2.38,7.457083333333333
1900-01-21,-1.0,-5.9,-2.7583333333333333,13.27,10.0,11.67,10.02,5.0,8.37375
1900-01-22,-3.8,-7.2,-5.687142857142858,11.4,8.17,9.603846153846153,6.88,4.1,5.44
1900-01-23,-4.6,-7.9,-5.392857142857143,11.87,8.95,9.947647058823529,2.28,-3.4,-1.2925
1900-01-24,-2.17,-11.53,-6.09125,11.4,8.17,9.603846153846153,4.0,1.7,2.9608333333333334
1900-01-25,-5.02,-8.8,-6.002222222222223,11.8,8.46000003814697,10.354166669845581,2.31,-3.65,-0.3416666666666666
1900-01-26,1.54,-2.73,-0.4895833333333333,13.27,10.11,11.67,2.15,1.9,1.9674999999999998
1900-01-27,-8.39,-11.53,-9.020000000000001,10.3,4.25,5.73625,1.23,-4.5,-1.4675
1900-01-28,-7.14,-10.89,-8.816521739130435,6.6,3.2,4.144,-5.7,-8.5,-7.491666666666667
1900-01-29,-11.1,-14.88,-13.167916666666668,4.1,0.45,2.04,-1.26,-6.29,-4.286666666666666
