,PCNR min band,PCNR max band,PCNR
1900-01-01,1.0,35.2,12.592784556344805
1900-01-02,0.0,36.1,9.960488662245806
1900-01-03,3.3,23.6,8.823741819125019
1900-01-04,0.0,14.0,3.6373226674891184
1900-01-05,-0.3,24.0,4.419991728147858
1900-01-06,-0.3,3.0,0.9563790769033381
1900-01-07,0.0,11.2,2.1303442570500706
1900-01-08,0.0,9.0,0.9430435607723293
1900-01-09,-0.3,7.0,0.8075066104523335
1900-01-10,-0.3,4.1,0.7853247853416586
1900-01-11,-0.3,7.0,1.7428782553973114
1900-01-12,0.0,7.0,0.8116281679308696
1900-01-13,0.0,19.4,3.9995219011259855
1900-01-14,0.0,6.3,1.896138836794545
1900-01-15,0.0,32.6,7.999069324814486
1900-01-16,0.0,37.8,4.224347696184418
1900-01-17,0.0,8.4,1.9766903217905418
1900-01-18,-0.3,16.5,3.214106869225573
1900-01-19,0.0,20.0,1.5128374729790413
1900-01-20,0.0,1.4,0.4782940565797319
1900-01-21,0.0,0.0,0.0
1900-01-22,0.0,0.0,0.0
1900-01-23,0.0,0.0,0.0
1900-01-24,0.0,0.3,0.0341966853762389
1900-01-25,0.0,4.0,0.3573311651663824
1900-01-26,0.0,1.5,0.0664978510740497
1900-01-27,-0.3,11.2,2.6925208947756296
1900-01-28,0.9,24.3,7.770561668265756
1900-01-29,0.5,31.5,11.036142106213866
1900-01-30,0.0,48.1,9.580108889752195
1900-01-31,8.2,51.0,25.68885978705199
1900-02-01,0.3,63.0,19.588987773203733
1900-02-02,0.4,25.2,9.682238741339644
1900-02-03,1.3,50.8,16.41174019186911
1900-02-04,0.8,50.2,12.25948899494465
1900-02-05,-0.3,31.7,8.88125242441211
1900-02-06,0.0,46.2,14.80029420767231
1900-02-07,0.0,24.0,12.528816343485882
1900-02-08,0.2,19.5,6.467838231797983
1900-02-09,-0.3,23.6,5.88670456312982
1900-02-10,0.0,48.3,12.174205268111272
1900-02-11,0.0,17.9,7.588403611495413
1900-02-12,0.0,46.0,19.71696997226937
1900-02-13,0.5,46.0,16.346069547747927
1900-02-14,0.0,6.1,0.884785735535147
1900-02-15,0.0,21.6,3.3791224552869146
1900-02-16,0.0,25.4,8.089253697119181
1900-02-17,0.0,39.2,9.989627296624297
1900-02-18,0.0,25.4,4.682346428556014
1900-02-19,1.0,17.2,9.816843360792543
1900-02-20,0.1,42.5,11.88613508666538
1900-02-21,0.0,56.5,14.140601835244814
1900-02-22,0.6,23.8,4.874202348456863
1900-02-23,0.0,26.4,8.939269007226644
1900-02-24,0.0,35.5,7.836142445912536
1900-02-25,0.0,31.6,6.361691391617873
1900-02-26,0.0,83.0,13.276450842093682
1900-02-27,0.0,12.5,3.8589560853733627
1900-02-28,0.0,32.6,5.828908125675107
1900-03-01,0.0,21.0,1.548878821221751
1900-03-02,-0.3,19.1,2.013443745051711
1900-03-03,0.0,3.0,0.3528801926904984
1900-03-04,-0.3,3.0,0.6765102536764396
1900-03-05,-0.3,24.3,4.468874947181687
1900-03-06,0.0,0.7,0.04999901587924124
1900-03-07,0.0,0.6,0.09653370693026796
1900-03-08,0.0,0.8,0.13156861208854578
1900-03-09,0.0,0.2,0.053073428377523144
1900-03-10,-0.3,13.2,1.1750940390606093
1900-03-11,0.0,10.2,1.1321794351639933
1900-03-12,-0.3,4.5,0.39728540484558894
1900-03-13,-0.3,0.0,-0.021584617685266438
1900-03-14,0.0,8.0,1.1608808585228212
1900-03-15,0.0,0.2,0.023409710098490077
1900-03-16,-0.3,19.0,3.9931451730310235
1900-03-17,2.3,12.0,6.856181781776422
1900-03-18,-0.3,15.2,3.131218084212429
1900-03-19,0.2,34.0,17.45460826271093
1900-03-20,0.0,29.0,16.829982231248337
1900-03-21,0.9,21.0,10.028293651279062
1900-03-22,2.8,33.8,14.679247592488371
1900-03-23,0.0,32.9,7.527422786168062
1900-03-24,0.0,39.5,11.56587546001609
1900-03-25,0.0,25.8,5.51329619550388
1900-03-26,-0.3,31.2,6.649335499242264
1900-03-27,0.0,17.3,7.593900987606258
1900-03-28,-0.3,9.5,3.3698709025246254
1900-03-29,-0.3,12.0,4.1272703000816495
1900-03-30,-0.3,3.5,0.6348431533815456
1900-03-31,0.0,2.6,0.6048248081007893
1900-04-01,0.0,8.4,1.5335887582991852
1900-04-02,0.0,7.2,2.0539403559255787
1900-04-03,-0.3,8.4,1.9538148169616394
1900-04-04,2.1,18.9,5.655000230824978
1900-04-05,0.0,11.2,2.3085175322295264
1900-04-06,0.0,5.4,1.0215851679938115
1900-04-07,0.0,21.2,7.500005351815727
1900-04-08,-0.3,28.7,11.575001956922794
1900-04-09,0.0,19.5,4.609248786778181
1900-04-10,-0.3,28.7,6.351974045315477
1900-04-11,0.0,4.2,0.5265465563872642
1900-04-12,0.0,4.0,0.7446454300704376
1900-04-13,-0.3,0.0,-0.048704335802872215
1900-04-14,-0.3,0.0,-0.041035358568481325
1900-04-15,0.0,0.0,0.0
1900-04-16,-0.3,4.5,0.3901383820691393
1900-04-17,0.0,2.5,0.16506719664859779
1900-04-18,0.0,0.8,0.1836411419972475
1900-04-19,0.0,0.8,0.11579606669082448
1900-04-20,0.0,0.0,0.0
1900-04-21,0.0,0.0,0.0
1900-04-22,-0.3,0.1,-0.012769786693086779
1900-04-23,0.0,4.6,0.7435322095126703
1900-04-24,0.0,6.0,1.7588906070817207
1900-04-25,0.0,8.0,2.9546463721259766
1900-04-26,0.0,26.0,4.316221206325592
1900-04-27,0.0,21.7,4.799806459710856
1900-04-28,-0.3,19.0,2.390823482443263
1900-04-29,0.0,19.0,6.413675126772141
1900-04-30,0.0,15.2,2.290262809210675
1900-05-01,0.0,11.5,1.334364674540986
1900-05-02,0.0,16.0,1.3329623972039804
1900-05-03,0.0,40.0,24.951188469162727
1900-05-04,0.0,2.4,0.10976332277248124
1900-05-05,0.0,3.0,0.9581413678092697
1900-05-06,-0.3,10.7,3.299673049701801
1900-05-07,0.3,35.4,7.007155116255944
1900-05-08,0.0,20.1,12.205667749475316
1900-05-09,0.0,23.5,7.447557709271757
1900-05-10,0.0,6.9,0.7794455302332909
1900-05-11,0.0,19.7,5.554924022531156
1900-05-12,0.0,24.0,6.724473799041021
1900-05-13,0.0,21.8,8.32414324577903
1900-05-14,0.0,42.0,10.580686091121484
1900-05-15,0.0,26.0,7.948265481699574
1900-05-16,0.0,26.0,10.25314059950669
1900-05-17,0.0,19.8,2.290490222136664
1900-05-18,0.0,8.5,2.993315130144744
1900-05-19,0.0,15.3,1.5619233492790396
1900-05-20,0.0,2.0,0.38439973286675716
1900-05-21,0.0,2.0,0.34791978962635983
1900-05-22,0.0,10.6,3.7146569985290223
1900-05-23,0.0,31.8,4.648927247041171
1900-05-24,0.0,27.0,2.4894291543485467
1900-05-25,0.0,6.7,0.8394884785424674
1900-05-26,0.0,0.0,0.0
1900-05-27,0.0,1.5,0.267386573187803
1900-05-28,0.0,1.3,0.22655608537469005
1900-05-29,-0.3,1.3,0.3073646582070799
