,TMAX min band,TMAX max band,TMAX
1900-01-01,-10.0,5.0,-0.97829612374341
1900-01-02,-5.0,0.6,-2.105940195924153
1900-01-03,-3.6,3.2,-1.7266880484130762
1900-01-04,-8.0,-2.4,-5.582623539560513
1900-01-05,-7.8,2.0,-3.8402719825466147
1900-01-06,-4.4,5.0,-2.2121120317042204
1900-01-07,-2.2,4.0,1.1910275504559975
1900-01-08,-5.4,5.0,-2.145667778779763
1900-01-09,-2.0,3.2,1.0499879602387239
1900-01-10,-3.9,5.0,0.32831864006930406
1900-01-11,-2.8,3.0,1.3608408946829098
1900-01-12,-2.8,6.8,1.9593283022476031
1900-01-13,-5.2,3.8,-0.6243149933791907
1900-01-14,-5.2,6.6,-0.34435465418661665
1900-01-15,-5.4,8.4,0.888581079203902
1900-01-16,-0.8,5.8,2.263089865964126
1900-01-17,0.0,4.0,2.6628619429182208
1900-01-18,-4.7,7.0,-0.22731565750072666
1900-01-19,3.0,12.0,5.911355893930947
1900-01-20,1.4,13.4,5.759842770160181
1900-01-21,0.2,9.8,7.764887848074475
1900-01-22,0.6,8.0,4.281211452265981
1900-01-23,1.4,9.4,3.5572605045942747
1900-01-24,-1.6,6.6,3.2747769013980266
1900-01-25,-1.2,9.2,4.474002580247649
1900-01-26,3.8,14.0,7.700297693518563
1900-01-27,-3.2,7.5,1.9510987205494186
1900-01-28,-5.4,1.8,-1.8079122525430367
1900-01-29,-7.2,-0.3,-4.641434243712553
1900-01-30,-1.1,5.2,1.610304817217986
1900-01-31,-2.6,2.3,0.6829495303612477
1900-02-01,-8.4,3.0,-1.8496680567000605
1900-02-02,-5.0,0.4,-2.0246078968535803
1900-02-03,-5.3,3.0,-0.29662163382442763
1900-02-04,-9.0,3.2,-1.1614792023959226
1900-02-05,-5.8,6.0,-2.630347495501165
1900-02-06,-5.0,3.0,0.0679414286765505
1900-02-07,-2.2,3.5,0.9825042174269832
1900-02-08,-9.0,3.2,-1.1900925000898794
1900-02-09,-4.4,6.0,0.42377916642541186
1900-02-10,-2.8,10.2,3.291524345100106
1900-02-11,-2.0,6.4,1.7507873192346117
1900-02-12,-1.4,7.6,2.6847797361774286
1900-02-13,-0.2,6.8,3.5246049469450496
1900-02-14,0.0,10.4,7.488930744193446
1900-02-15,-1.6,9.8,3.145808684694249
1900-02-16,-2.4,3.0,0.1556994563207588
1900-02-17,-2.2,4.6,1.9850903709551793
1900-02-18,-0.4,5.7,2.270534685069925
1900-02-19,-0.8,8.0,1.3988018839392893
1900-02-20,-2.8,4.6,0.6338722118438098
1900-02-21,-4.0,5.7,-0.2919071028354733
1900-02-22,-1.5,7.8,3.6580727513613076
1900-02-23,-1.6,8.6,2.0211726354571624
1900-02-24,-2.6,7.4,3.5186395260077137
1900-02-25,-1.4,5.8,2.5985782083961655
1900-02-26,-1.6,6.4,3.2896416046349053
1900-02-27,-0.6,9.6,2.92147337588715
1900-02-28,-5.4,8.4,0.411833676982624
1900-03-01,-0.7,18.0,8.421031660328028
1900-03-02,-1.2,20.0,9.618729792965855
1900-03-03,-0.4,21.0,6.874939994736169
1900-03-04,1.0,12.5,5.815262495578929
1900-03-05,1.0,15.0,8.173835193975872
1900-03-06,7.3,18.0,13.466213500856227
1900-03-07,5.5,19.4,13.239628491678324
1900-03-08,5.0,16.6,9.959859191666531
1900-03-09,1.2,21.4,12.710319699132725
1900-03-10,-4.2,21.7,13.113544607634033
1900-03-11,5.8,17.0,12.299088199926421
1900-03-12,3.6,15.1,8.851285075631814
1900-03-13,7.0,15.4,11.23491954705511
1900-03-14,2.8,21.1,8.090780819741582
1900-03-15,-1.2,19.6,8.861826034121783
1900-03-16,-5.2,8.2,1.2579836096419124
1900-03-17,-6.0,2.2,-1.640231042145785
1900-03-18,-0.2,11.4,5.289030026095066
1900-03-19,0.0,3.6,1.5230221908303518
1900-03-20,-1.3,7.0,2.0763896089103353
1900-03-21,-3.2,6.0,0.4696298918659429
1900-03-22,-6.6,4.4,0.5903887554658239
1900-03-23,1.0,11.0,5.359111611778077
1900-03-24,-1.0,10.8,5.190421542529223
1900-03-25,-3.0,7.6,3.230752945379425
1900-03-26,-3.8,8.2,1.0854769821173296
1900-03-27,-3.2,13.9,3.383363272912119
1900-03-28,-2.4,2.4,0.047262871634240734
1900-03-29,-1.6,9.0,4.355551316662688
1900-03-30,-0.6,9.0,3.9240716284086825
1900-03-31,1.6,19.0,10.822419901814163
1900-04-01,-0.8,12.2,3.4265836197536665
1900-04-02,-0.7,9.2,3.0458706143947234
1900-04-03,0.0,14.0,5.447387382698278
1900-04-04,-3.0,5.2,2.2503122271402725
1900-04-05,-2.1,9.0,1.3344826169079782
1900-04-06,-0.8,12.2,4.919671306542848
1900-04-07,-4.6,4.4,-0.9291127828344733
1900-04-08,-3.4,10.7,0.3931255412921909
1900-04-09,-4.2,1.8,-2.011824381758961
1900-04-10,-3.4,2.6,-0.13871879678170118
1900-04-11,0.6,19.9,9.507023305750597
1900-04-12,4.0,18.4,9.65286863784427
1900-04-13,7.5,20.6,13.75967718681016
1900-04-14,-1.0,22.2,10.752406040677155
1900-04-15,3.4,19.2,12.025766881626696
1900-04-16,5.8,15.0,11.469046586185815
1900-04-17,4.2,16.2,11.396338944882217
1900-04-18,4.0,19.6,9.560139164992101
1900-04-19,2.2,16.4,10.857365917535608
1900-04-20,7.0,22.0,15.911124760737813
1900-04-21,9.0,22.0,14.790969614182728
1900-04-22,2.8,16.8,12.419941620721499
1900-04-23,3.2,17.2,12.076208153131654
1900-04-24,-0.8,17.4,6.6263984331324455
1900-04-25,-0.8,20.0,8.347581883642016
1900-04-26,-2.0,16.4,5.128623107537541
1900-04-27,1.2,11.6,6.5409887222183
1900-04-28,-1.0,16.2,6.645781555859505
1900-04-29,-3.8,15.7,6.051970369370403
1900-04-30,0.4,16.6,11.46485604142291
1900-05-01,0.2,16.8,6.740977360631425
1900-05-02,-2.2,19.4,5.468364714785451
1900-05-03,2.0,10.0,5.370301345682637
1900-05-04,6.8,18.8,12.654950823164683
1900-05-05,3.8,19.0,10.3126525947348
1900-05-06,0.0,10.0,3.822405866689358
1900-05-07,1.8,8.0,4.592560625383849
1900-05-08,-0.2,13.0,4.31124449065319
1900-05-09,-1.8,6.0,1.2625302812824268
1900-05-10,1.4,18.2,11.210102152549727
1900-05-11,0.6,19.2,10.056911851896857
1900-05-12,-1.0,12.0,7.346608437149847
1900-05-13,0.4,7.6,2.4776574185073317
1900-05-14,-4.8,13.9,4.0034006758211
1900-05-15,1.2,14.4,5.391048477026226
1900-05-16,-4.8,9.6,4.788950113892065
1900-05-17,-6.2,7.2,2.7583952606414073
1900-05-18,-6.4,12.0,4.064406174895377
1900-05-19,-1.2,11.8,5.089115986593721
1900-05-20,3.2,16.0,7.75800440087606
1900-05-21,8.4,16.4,12.781621923616859
1900-05-22,3.5,14.8,7.812895119485206
1900-05-23,-0.8,15.6,5.39721875514679
1900-05-24,0.2,12.3,7.159369917725468
1900-05-25,-8.0,18.6,11.476605274325966
1900-05-26,7.5,22.4,14.631311344796993
1900-05-27,5.8,21.6,13.479003831588813
1900-05-28,5.6,25.0,13.361915418152606
1900-05-29,1.6,21.0,14.119277671750572
1900-05-30,0.6,14.6,7.420731865116178
1900-05-31,4.8,16.2,9.584501078052934
1900-06-01,8.8,23.0,13.208251831517371
1900-06-02,10.2,19.0,14.832796750181783
1900-06-03,0.0,12.2,10.26169965502587
1900-06-04,3.4,18.8,12.180876373112106
1900-06-05,7.2,22.5,18.54465091741033
1900-06-06,4.8,27.4,17.151752644906367
1900-06-07,13.4,24.1,18.067584671688625
1900-06-08,19.0,29.5,24.009247512303574
1900-06-09,13.6,27.8,20.17181712355889
1900-06-10,5.5,26.3,16.13890549984932
1900-06-11,5.5,21.6,15.438343795687988
1900-06-12,7.8,24.4,21.592878218749544
1900-06-13,17.0,28.0,24.060838763657546
1900-06-14,17.0,28.0,24.32986627898832
1900-06-15,17.0,30.5,23.284678545079725
1900-06-16,15.4,29.6,21.49102952987265
1900-06-17,17.4,28.0,22.554475328357785
1900-06-18,13.8,29.0,23.80416788152078
1900-06-19,19.2,28.0,24.0927804881945
1900-06-20,11.8,25.0,19.642483412662433
1900-06-21,18.8,25.3,22.507586905728076
1900-06-22,21.7,26.2,24.01687027652714
1900-06-23,16.8,28.0,23.259607391507444
1900-06-24,17.0,26.4,22.787073745745122
1900-06-25,16.0,25.0,21.72789219036119
1900-06-26,15.2,26.4,21.695397859955936
1900-06-27,9.8,26.4,21.18448908953527
1900-06-28,14.0,26.0,22.26098970574449
1900-06-29,8.8,27.0,20.144391764374294
1900-06-30,17.4,25.7,21.61230403166365
1900-07-01,17.0,25.8,21.192252830014073
1900-07-02,5.2,26.0,14.990342063635763
1900-07-03,4.8,19.4,14.363243774271696
1900-07-04,11.6,26.6,18.432449510373285
1900-07-05,11.6,26.4,17.557390401563218
1900-07-06,10.2,28.0,21.12857466794312
1900-07-07,12.0,26.0,18.57818099782239
1900-07-08,15.6,26.0,20.627368409374455
1900-07-09,19.6,30.0,26.4973181366152
1900-07-10,16.8,29.9,24.736725492098607
1900-07-11,12.0,23.1,17.202074546385372
1900-07-12,15.8,23.6,19.005927448510363
1900-07-13,8.2,25.4,16.071740092987504
1900-07-14,15.0,28.4,23.55233328772847
1900-07-15,15.0,30.0,24.412879055094564
1900-07-16,17.6,27.4,23.572074614710555
1900-07-17,21.0,31.2,24.648786210943022
1900-07-18,13.2,28.6,23.64009820495639
1900-07-19,14.4,28.6,23.517263136858354
1900-07-20,13.8,29.0,23.72798151923234
1900-07-21,16.3,26.4,23.380621174258206
1900-07-22,16.3,28.7,24.235902951522817
1900-07-23,18.4,30.0,24.008478454721935
1900-07-24,17.5,27.5,24.4743771118502
1900-07-25,13.0,25.4,20.486285936911077
1900-07-26,13.8,27.4,22.266816753814332
1900-07-27,17.2,27.2,22.727886282170108
1900-07-28,11.2,24.6,20.6258404421855
1900-07-29,13.2,26.4,18.667713476029558
1900-07-30,14.4,28.6,20.169302719523255
1900-07-31,19.8,26.0,22.151370873938227
1900-08-01,20.0,26.2,23.34329409534124
1900-08-02,20.4,26.6,23.296548849047486
1900-08-03,13.4,24.0,17.894676838157093
1900-08-04,10.0,23.4,17.940069587691173
1900-08-05,11.4,22.0,17.397479139148004
1900-08-06,14.0,27.5,23.291363819881628
1900-08-07,13.2,25.0,19.671587595401895
1900-08-08,10.0,26.0,20.45457706302261
1900-08-09,16.2,26.2,22.508091669929463
1900-08-10,18.2,27.0,22.31193851664048
1900-08-11,13.2,29.1,22.382162503503594
1900-08-12,20.4,27.6,25.24514755359165
1900-08-13,16.3,28.6,20.92095880850463
1900-08-14,13.8,25.8,21.592112249646576
1900-08-15,12.5,26.4,21.03611182149604
1900-08-16,9.6,25.0,18.279937281429028
1900-08-17,14.2,28.0,23.47733551158357
1900-08-18,13.2,26.4,21.51463307273551
1900-08-19,17.6,27.6,22.652845986646287
1900-08-20,15.0,24.2,19.608118372778804
1900-08-21,10.4,23.4,19.135778578892275
1900-08-22,4.0,23.5,15.490272196761497
1900-08-23,7.0,23.5,14.185925756143947
1900-08-24,2.2,25.2,14.641568395515108
1900-08-25,9.4,28.4,19.867868632072035
1900-08-26,3.5,13.4,8.014266148349531
1900-08-27,15.4,25.2,20.380118862522373
1900-08-28,19.4,28.4,23.773706012777033
1900-08-29,17.0,25.6,21.905784282335134
1900-08-30,18.5,28.9,23.279485817176067
1900-08-31,20.2,28.5,25.386151051259812
1900-09-01,7.3,22.0,16.514738178715056
1900-09-02,3.4,25.0,18.007883815831597
1900-09-03,0.5,23.6,15.53549551859042
1900-09-04,1.0,18.5,9.563682390343697
1900-09-05,10.8,27.2,17.593645964904958
1900-09-06,9.6,17.0,11.7599384106719
1900-09-07,9.8,25.3,20.73607355962804
1900-09-08,-4.6,22.0,10.207351338228081
1900-09-09,-1.4,22.6,10.595616200669934
1900-09-10,1.2,22.0,11.498849662498563
1900-09-11,10.1,24.0,18.534924194411882
1900-09-12,1.8,23.0,18.706556553906207
1900-09-13,7.8,23.8,14.060961734804163
1900-09-14,7.8,25.4,15.357173810252515
1900-09-15,9.6,26.6,19.02061405349598
1900-09-16,9.6,24.2,16.141239439685304
1900-09-17,10.0,22.6,15.203684584083463
1900-09-18,9.4,22.0,16.980485248405277
1900-09-19,1.4,26.8,14.768332527462283
1900-09-20,3.0,25.0,12.648145514514416
1900-09-21,9.2,24.0,15.168267981550038
1900-09-22,6.0,23.2,14.474661685460472
1900-09-23,5.3,20.4,13.370170517947168
