,TMIN min band,TMIN max band,TMIN
1900-01-01,-7.9,-3.2,-6.796264842748671
1900-01-02,-14.2,-3.2,-8.509399980482316
1900-01-03,-10.0,-4.2,-7.702395240812932
1900-01-04,-15.4,-7.8,-10.646718611099027
1900-01-05,-9.8,-6.0,-8.056652146490404
1900-01-06,-9.6,-5.2,-7.277244231510301
1900-01-07,-5.4,-1.0,-3.776090699586078
1900-01-08,-7.8,0.0,-6.718255138770284
1900-01-09,-6.0,0.6,-2.876014591113454
1900-01-10,-9.0,-1.4,-4.831770253564256
1900-01-11,-4.1,-1.4,-3.2422444124715994
1900-01-12,-4.1,-0.4,-2.4118060829869834
1900-01-13,-8.2,-5.4,-7.010770267965627
1900-01-14,-4.6,-2.4,-3.7780743536481625
1900-01-15,-9.6,-0.4,-6.232487045615997
1900-01-16,-1.0,-0.6,-0.8855149846153249
1900-01-17,-1.2,1.4,0.19250160527948074
1900-01-18,-6.8,-1.6,-3.9502747276635737
1900-01-19,-5.2,-0.8,-3.9948262284341625
1900-01-20,-4.8,4.8,-1.4480798322543798
1900-01-21,-0.2,2.8,0.9535209178366371
1900-01-22,-6.0,1.8,-2.0358557925542584
1900-01-23,-7.6,-2.2,-3.7583308844586347
1900-01-24,-8.3,-1.4,-4.435935350005365
1900-01-25,-5.4,0.2,-2.6706159359574877
1900-01-26,-2.8,2.0,-0.7952543684593687
1900-01-27,-6.2,-3.6,-4.897676161481094
1900-01-28,-7.0,-4.0,-5.902011381961976
1900-01-29,-8.8,-6.8,-8.025461293107034
1900-01-30,-6.8,-2.0,-3.2336091886156115
1900-01-31,-3.6,-0.6,-2.411739182578664
1900-02-01,-6.8,0.2,-3.6408017390495844
1900-02-02,-11.0,-5.2,-7.227494035653746
1900-02-03,-6.6,-0.1,-3.178313779970402
1900-02-04,-14.0,0.0,-7.913215399747738
1900-02-05,-7.2,-1.0,-6.037049133447862
1900-02-06,-4.2,-2.0,-3.2475676926442048
1900-02-07,-2.8,-2.0,-2.4345939618953896
1900-02-08,-11.4,0.0,-5.41352524177126
1900-02-09,-8.8,-3.8,-6.137100638688783
1900-02-10,-0.8,1.0,-0.17879587677200723
1900-02-11,-10.2,0.0,-3.592534833832406
1900-02-12,-5.2,-1.2,-2.4157933691202946
1900-02-13,-5.0,4.2,1.339680934231845
1900-02-14,0.8,3.4,2.09567052474013
1900-02-15,-5.8,1.2,-3.5917571894094076
1900-02-16,-6.4,-0.4,-3.9253705324209447
1900-02-17,-5.8,-0.8,-2.6421524968129297
1900-02-18,-3.0,-1.0,-2.4191738766477275
1900-02-19,-6.0,0.2,-4.722318135332232
1900-02-20,-3.6,-0.4,-2.094032256738961
1900-02-21,-6.8,-5.8,-6.23590758068753
1900-02-22,-4.2,1.4,-0.3903719130026006
1900-02-23,-6.2,-2.4,-3.3986282670287555
1900-02-24,-2.6,0.6,-0.8032042892828274
1900-02-25,-6.6,-0.4,-1.7962935657260222
1900-02-26,-3.3,3.0,-0.08420823528598018
1900-02-27,-2.6,-0.8,-2.0066236323640396
1900-02-28,-7.6,-0.5,-4.972850109807115
1900-03-01,-0.4,4.4,2.2016870877964285
1900-03-02,-8.6,0.0,-1.930539028325689
1900-03-03,-6.4,2.2,-1.0644872147347075
1900-03-04,-3.2,1.6,-1.243430357320273
1900-03-05,-5.0,7.0,2.2562800659103774
1900-03-06,-2.2,7.6,2.232243772155871
1900-03-07,-3.8,7.4,0.4721740658546246
1900-03-08,0.0,8.0,2.155570623604339
1900-03-09,0.0,7.3,4.267556783197656
1900-03-10,6.6,11.2,6.981591415682599
1900-03-11,5.0,6.8,5.823345973131517
1900-03-12,-0.8,6.4,1.780301442747063
1900-03-13,1.0,6.0,4.214187693165276
1900-03-14,-4.4,4.2,-2.1609193264986364
1900-03-15,-4.4,6.4,-0.25943961049095626
1900-03-16,-6.6,0.6,-4.922249232341487
1900-03-17,-7.8,-3.8,-6.03176108216067
1900-03-18,-6.8,1.6,-3.4349541668081622
1900-03-19,-4.4,-1.6,-2.4097854777828878
1900-03-20,-5.2,-1.0,-2.057759457502153
